id,name,dining_context,reason
cc2c9ffa-93eb-4534-8081-842422a5cca6,Ba chỉ bò cuộn nấm kim châm nướng,both,Có thể tự làm hoặc mua ở quán nướng
1e45a09b-ab00-4a96-8816-4550a012dc5d,Beefsteak bò Mỹ,restaurant,Món ăn phương Tây phổ biến ở nhà hàng
b416d08f-2ac3-4dfa-95e3-90d3c102e9bf,Bánh Brownie hạt óc chó,both,Có thể tự làm hoặc mua ở tiệm bánh
eed75fe7-8fc9-4d21-b62d-be79ab463cba,Bánh Cheesecake,both,Có thể tự làm hoặc mua ở tiệm bánh
f9238c03-8f2b-4788-aeef-e82f1fb9bcc8,Bánh Crepe nhân mặn,both,Có thể tự làm hoặc mua ở tiệm bánh/quán ăn vặt
da564712-66e9-4443-80a3-2da0dc2f2ab0,Bánh Lava socola chảy,both,Có thể tự làm hoặc mua ở tiệm bánh
4127ec3e-b543-4658-b453-07159bacfc54,Bánh Macaron,restaurant,Món bánh ngọt đặc trưng thường mua ở tiệm
6e9dde2e-954c-4ad2-ba46-9dce184cb7ec,Bánh Mousse socola,both,Có thể tự làm hoặc mua ở tiệm bánh
9fdcf2a6-3ab8-41ab-a2cf-0311b7a801f9,Bánh Tart trứng nướng,both,Có thể tự làm hoặc mua ở tiệm bánh
79e7d91c-d920-41cf-9829-0b1641fc68b6,Bánh Tiramisu,both,Có thể tự làm hoặc mua ở tiệm bánh
31d2d017-535a-4ee6-84bd-ff4a35ab1095,Bánh Waffle kem tươi,both,Có thể tự làm hoặc mua ở tiệm bánh/quán ăn vặt
2b19c35e-17cb-46f4-a4d7-80ec1706bff4,Bánh bao kim sa,restaurant,"Món ăn sáng, ăn vặt phổ biến ở quán"
6f494cea-6c3e-4bf3-a3c7-424e68bcfb91,Bánh bao trứng muối,restaurant,"Món ăn sáng, ăn vặt phổ biến ở quán"
822a867c-95fb-4a27-ab94-5d578ccf7f65,Bánh bèo,restaurant,"Món ăn vặt, đặc sản vùng miền phổ biến ở quán"
a8684a1e-63fe-4521-b0eb-20c73ba02935,Bánh bèo khay,restaurant,"Món ăn vặt, đặc sản vùng miền phổ biến ở quán"
fc2e71bf-31fb-4ff7-993d-4714b8692ddb,Bánh bò nướng,restaurant,Tên riêng của một món ăn vặt phổ biến
6e1365f0-3ef4-4757-bb72-fdb2b6288d32,Bánh bò thốt nốt,restaurant,Tên riêng của một món ăn vặt phổ biến
9b3b1841-2e2c-4d8e-b8a3-2d3bd1501a1a,Bánh bông lan trứng muối,restaurant,Tên riêng của một món ăn vặt phổ biến
a0d1dfc4-ad43-44f3-af44-643daf8cdb16,Bánh bột lọc nhân đậu xanh,restaurant,Tên riêng của một món ăn vặt phổ biến
713f94f8-b11c-4341-aa90-84fda28b4cc2,Bánh cam đường,restaurant,Tên riêng của một món ăn vặt phổ biến
2153fb9f-7772-4bee-9e0b-ffbab2fc1109,Bánh canh Nam Phổ,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
1fe1a28c-cacd-49eb-be9a-291c2128f0e5,Bánh canh chả cua,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
a18a3c54-f2b0-40d6-8146-9cd293727bba,Bánh canh chả cá,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
b5b1b864-c904-439b-8e15-d5cb5e835f48,Bánh canh cua,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
b5850d9c-a599-4ccf-b11c-510f6cdcfba3,Bánh canh cá lóc,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
7fd1089c-747e-4aaf-90a5-bb37bb67d574,Bánh canh ghẹ,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
1e140108-7f1c-4f45-86d7-d710d9c82ed2,Bánh canh ruộng,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
9c44ea6a-75e0-4427-8d50-b6b771f9c9e3,Bánh canh tôm thịt,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
d4d25ce7-6d74-4d2c-b112-b3d275ba91e3,Bánh canh vịt,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
df751b63-6efd-4f19-9e8e-10d9bb25d4b2,Bánh canh xương chả,restaurant,Tên riêng của một món ăn đặc sản nổi tiếng
5008ee33-859f-461d-8217-90b702593490,Bánh chiên bột lọc chiên,restaurant,Tên riêng của một món ăn vặt phổ biến
d7c9a2aa-9acf-482a-ba37-3d3e6fd3985d,Bánh chuối chiên,restaurant,Tên riêng của một món ăn vặt phổ biến
59442112-e57a-4b61-91cf-59290080a4f4,Bánh chuối hấp cốt dừa,both,Phổ biến ở cả nhà và quán ăn vặt
1d84cf8b-8956-4450-a24a-f39b73b0521a,Bánh chín tầng mây,both,Phổ biến ở cả nhà và quán ăn vặt
2e81d43a-a201-4437-b6b4-33cd61df8f36,Bánh chưng chiên,both,Phổ biến ở cả nhà và quán ăn vặt
4f6edb18-f765-4958-8656-8de6a0460799,Bánh crepe sầu riêng,restaurant,Tên riêng của một món tráng miệng phổ biến
0046eb97-bb71-4c3b-a5fe-c7a021f3c76e,Bánh cuốn,restaurant,Tên riêng của một món ăn sáng/ăn vặt nổi tiếng
ac18c492-4735-4b88-9396-9735fbf433b0,Bánh cuốn nóng thịt băm,restaurant,Tên riêng của một món ăn sáng/ăn vặt nổi tiếng
d1182410-4b43-4e12-ae2b-e41333114722,Bánh căn,restaurant,Tên riêng của một món ăn vặt/sáng nổi tiếng
b0dd1fe5-4017-4d35-a39a-144e1572991a,Bánh da lợn,both,Phổ biến ở cả nhà và quán ăn vặt
35412076-3e83-4f66-9438-95abd1e5add4,Bánh dẻo nhân đậu xanh,both,Phổ biến ở cả nhà và quán ăn vặt
1951a28f-f74a-4406-80c5-21d806854923,Bánh flan caramel,restaurant,Tên riêng của một món tráng miệng phổ biến
69960658-e48a-48ec-a74f-4722c5c5aa65,Bánh giò nóng,restaurant,Tên riêng của một món ăn sáng/ăn vặt nổi tiếng
4633a40b-607b-4c51-8059-32e1fcb43350,Bánh gói,both,Phổ biến ở cả nhà và quán ăn vặt
f1b37cdb-25a8-4027-a798-7e7c7573564d,Bánh gối,restaurant,Tên riêng của một món ăn vặt phổ biến
5caf5191-0efd-431b-8cfb-73362e985a59,Bánh gối nhân thịt trứng cút,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
6a032b81-6f16-44bc-b7f4-bfaf6695a221,Bánh khoai mì nướng,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
fbe89a3e-0b45-4c8c-81b1-b4aa83ae763c,Bánh khoai mỡ chiên,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
dac64d32-0a6a-48b0-8b3a-3b019b59afa4,Bánh kẹp trứng cút,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
4ab4f0ad-4041-4885-8086-fd3458ba33e3,Bánh lọc,restaurant,"Đặc sản nổi tiếng, thường bán ở quán."
1fc26c4a-70f4-4eae-9452-7d0677bba5ad,Bánh lọc trần,restaurant,"Đặc sản nổi tiếng, thường bán ở quán."
4f7b4fba-dc32-4e46-b9c0-5e9705cba9bb,Bánh lọc trần chay,restaurant,"Đặc sản nổi tiếng, thường bán ở quán."
e8f09820-f8b1-4da8-9ec4-3c2eafadb6f8,Bánh mochi kem lạnh,restaurant,"Món tráng miệng hiện đại, thường bán ở tiệm bánh."
30f94b74-c5b5-44df-bc48-7b23735a1285,Bánh mousse chanh leo,restaurant,"Món tráng miệng hiện đại, thường bán ở tiệm bánh."
5e0250cd-13d9-4f36-aded-021626d58ce0,Bánh mì bơ tỏi nướng giòn,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
4c3473e5-3bc3-40c0-8ce2-aca962426295,Bánh mì bột lọc,restaurant,"Món ăn đường phố phổ biến, thường bán ở quán."
86f26dc0-5c2f-4ad8-89b7-7568d61572ab,Bánh mì chả bò,restaurant,"Món ăn đường phố phổ biến, thường bán ở quán."
1745db6b-5d5a-4d15-82a6-a7d44d77a527,Bánh mì heo quay,restaurant,"Món ăn đường phố phổ biến, thường bán ở quán."
bf63e314-9d28-4746-8060-0add45afde45,Bánh mì kẹp xúc xích,both,"Món ăn nhanh, có thể tự làm hoặc mua."
8ea50ccc-c0a2-4080-bdef-47ca6893f661,Bánh mì nướng bơ tỏi phô mai chảy,both,"Món ăn vặt phổ biến, có thể tự làm hoặc mua."
09e3476f-c728-421a-ac71-dd581dd861f3,Bánh mì nướng kiểu Pháp,both,"Phổ biến ở cả nhà và quán, không đủ thông tin rõ ràng"
4f34fca6-1701-46c0-bf4a-06377ad4eac8,Bánh mì nướng muối ớt,restaurant,Món ăn vặt đường phố phổ biến
98b466aa-6e6f-47c5-86aa-339b4f6514d0,Bánh mì xíu mại,restaurant,Món ăn sáng phổ biến ở quán
89160c80-c8b9-461c-8047-9ebd7124360b,Bánh nậm,restaurant,"Đặc sản vùng miền, thường bán ở quán"
efa084b8-881d-4fba-be97-f3f10caf6e59,Bánh nậm chay,restaurant,"Đặc sản vùng miền, thường bán ở quán"
1cc9140e-69ca-4791-8aef-2a3e8c525b03,Bánh quy bơ hạt điều,both,Có thể làm tại nhà hoặc mua ở tiệm bánh
44fd6af8-e21a-42b3-b934-dbd8147a2556,Bánh ram ít,restaurant,"Đặc sản vùng miền, thường bán ở quán"
60c8ee67-6c43-43aa-b71c-26adbd3804e6,Bánh rán Doraemon,both,Có thể làm tại nhà hoặc mua ở tiệm bánh
9d388c06-45e6-4f9f-9e1c-6094810518d2,Bánh rán mật,restaurant,Món ăn vặt đường phố phổ biến
b82bdbc1-4301-4adf-9c84-026f927d3e66,Bánh su kem,restaurant,Món bánh ngọt phổ biến ở tiệm bánh
4615b238-2ba5-4df3-8035-5e091419b0e0,Bánh su kem vỏ giòn,restaurant,Món bánh ngọt phổ biến ở tiệm bánh
c4a6abaa-90f3-43f8-bc73-0917488656f2,Bánh sừng bò,restaurant,Món bánh ngọt phổ biến ở tiệm bánh
